dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
solar/H/medium,t0-beta,301.18558394160584,301.18558394160584,6.641778816909976,0.5081563084085472,2.3775448766376366,1.356985391955596,3.2173753155448006,17.354699189026753,0.6251567708548857,0.23925237497272203,0.1850534350301733,Energy,1
solar/H/long,t0-beta,322.277899432279,322.277899432279,7.131545265612328,0.5419535269511049,3.22871162700274,1.3566404388730624,3.201343471180164,17.952100139879985,0.6224320286224476,0.2472636712307003,0.1887412072427827,Energy,1
ett2/D/short,t0-beta,110973.85396825397,110973.85396825397,202.38892609126984,1.3547299687773344,0.4022366962735615,0.14053958711170014,11.72223994532907,333.1273839963535,0.19065759113066957,0.11583252225373046,0.0936588495305948,Energy,7
m4_quarterly/Q/short,t0-beta,1887609.1866666668,1887609.1866666668,586.3037565104166,1.267744033602824,0.11552241516113282,0.10718711789449056,9.240379158891807,1373.9029029253365,0.22996715230574832,0.09813692436618326,0.07799002756449669,Econ/Fin,1
m4_weekly/W/short,t0-beta,259505.39532890508,259505.39532890508,257.1941289907864,2.083997978252326,0.06282400814143856,0.0626399218205954,14.646648652993047,509.4167207001603,0.09280783190790576,0.046856784477490004,0.03733066274018359,Econ/Fin,1
m4_daily/D/short,t0-beta,344413.01186251646,344413.01186251646,180.66844599133123,3.3759382564855183,0.037769771112965894,0.030847765061889885,25.399997338723143,586.8671160173456,0.09065475108244522,0.02790828205019456,0.022129589436378935,Econ/Fin,1
electricity/W/short,t0-beta,37615726023.72613,37615726023.72613,26400.920720720722,1.4743689739839554,0.24213858582012046,0.0960327724078754,11.617861280623274,193947.74044501298,0.4425247407315038,0.06023818875230588,0.04764853821129103,Energy,1
hospital/M/short,t0-beta,3279.7961755758365,3279.7961755758365,19.096927966101696,0.788719169921582,0.20095896814139913,0.18011300867404798,5.311151681818188,57.2695047610492,0.20790160107309447,0.06932628309421683,0.05527355779138263,Healthcare,1
ett1/15T/short,t0-beta,4.584504627046131,4.584504627046131,1.0496998378208706,0.6716919946910836,0.48820694633152173,0.2326343536376953,4.582716614104052,2.141145634244932,0.4047656503947753,0.19843696326835247,0.1535548017435021,Energy,7
ett1/15T/medium,t0-beta,9.338338293650793,9.338338293650793,1.5976785714285715,1.017100273113224,0.7679422366746854,0.3940156482514881,6.823298653705867,3.055869482430621,0.5824517448197027,0.3045191154071969,0.2348414038403322,Energy,7
